_id,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
o_tasks/0b518fa8-72dd-4384-a875-f856f5542bd5,3556,"Perform laboratory studies of steps in manufacture of new products and test proposed processes in small-scale operation, such as a pilot plant.",Core,22,07/2017,Occupational Expert
o_tasks/e985157b-9111-4eb1-9f84-5e614dea7d71,3554,Prepare estimate of production costs and production progress reports for management.,Core,22,07/2017,Occupational Expert
o_tasks/2f2e251e-d0b9-4cf2-b2ab-901f0f3ee294,3559,Design measurement and control systems for chemical plants based on data collected in laboratory experiments and in pilot plant operations.,Core,22,07/2017,Occupational Expert
o_tasks/cedd531d-1d57-4c79-a76d-7e626e639a74,3553,"Determine most effective arrangement of operations such as mixing, crushing, heat transfer, distillation, and drying.",Core,22,07/2017,Occupational Expert
o_tasks/968f1e8d-55ab-4d48-8446-50e1770c32a8,3555,"Direct activities of workers who operate or are engaged in constructing and improving absorption, evaporation, or electromagnetic equipment.",Core,22,07/2017,Occupational Expert
o_tasks/351f8055-3b69-462a-9f1e-c2b4c91b3e61,18473,"Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure.",Core,22,07/2017,Occupational Expert
o_tasks/d3549436-9b7d-4d4e-a5e0-8260a3ac200e,3560,Design and plan layout of equipment.,Core,22,07/2017,Occupational Expert
o_tasks/a252fdf5-79bc-4a23-a794-ba2743053516,148,Inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.,Core,23,07/2014,Occupational Expert
o_tasks/c6ee27d8-30cd-4bcd-81ff-bca0f281a090,147,"Compute load and grade requirements, water flow rates, or material stress factors to determine design specifications.",Core,22,07/2014,Occupational Expert
o_tasks/c8c9f565-20b7-4d3f-b9a3-07a34df4c5f8,20489,"Provide technical advice to industrial or managerial personnel regarding design, construction, program modifications, or structural repairs.",Core,23,07/2014,Occupational Expert
o_tasks/222a24d0-6fb0-4d2e-9490-64af79990a78,153,"Test soils or materials to determine the adequacy and strength of foundations, concrete, asphalt, or steel.",Core,22,07/2014,Occupational Expert
o_tasks/94d0cb1f-55e3-4d21-9061-f1cc1c94a818,20490,"Manage and direct the construction, operations, or maintenance activities at project site.",Core,23,07/2014,Occupational Expert
o_tasks/8276c9ff-4a73-42ef-8318-715ebe0f948a,150,"Direct or participate in surveying to lay out installations or establish reference points, grades, or elevations to guide construction.",Core,23,07/2014,Occupational Expert
o_tasks/7e370a1b-2d00-45f0-bcfa-84ac8a7f4e36,151,"Estimate quantities and cost of materials, equipment, or labor to determine project feasibility.",Core,23,07/2014,Occupational Expert
o_tasks/a88d626d-9f6c-4bf8-ab82-960ba652dd86,20491,"Plan and design transportation or hydraulic systems or structures, using computer-assisted design or drawing tools.",Core,23,07/2014,Occupational Expert
o_tasks/0cc3c368-45ee-4a47-943c-b9ea1a8cb153,152,"Prepare or present public reports on topics such as bid proposals, deeds, environmental impact statements, or property and right-of-way descriptions.",Core,23,07/2014,Occupational Expert
o_tasks/8f9d821b-0080-4b24-a448-8d0912ab6e90,19607,Design energy-efficient or environmentally sound civil structures.,Core,23,07/2014,Occupational Expert
o_tasks/5509c5e2-c8e8-44d3-95bc-f6b00349d731,19611,Identify environmental risks and develop risk management strategies for civil engineering projects.,Core,23,07/2014,Occupational Expert
o_tasks/ab942808-c0c7-4cd3-ba1e-4c39896b7357,19610,"Direct engineering activities, ensuring compliance with environmental, safety, or other governmental regulations.",Core,23,07/2014,Occupational Expert
o_tasks/b142f309-a5ba-4b8c-aeb0-a8fcb0d697c9,20492,"Analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data.",Core,23,07/2014,Occupational Expert
o_tasks/c99610f7-abb2-411c-bf53-06d5aa29acec,155,Conduct studies of traffic patterns or environmental conditions to identify engineering problems and assess potential project impact.,Core,23,07/2014,Occupational Expert
o_tasks/c59d8464-ff34-468d-ac53-9472c5a86fe8,19608,"Design or engineer systems to efficiently dispose of chemical, biological, or other toxic wastes.",Supplemental,23,07/2014,Occupational Expert
o_tasks/5cc468cc-cd05-4813-94b5-259d623b11bb,19609,Develop or implement engineering solutions to clean up industrial accidents or other contaminated sites.,Supplemental,23,07/2014,Occupational Expert
o_tasks/2694023f-55dc-4e71-998f-7648ea19fecb,19606,Analyze manufacturing processes or byproducts to identify engineering solutions to minimize the output of carbon or other pollutants.,Supplemental,23,07/2014,Occupational Expert
o_tasks/8bcdf681-3058-41ca-b400-89069f9e88f1,16320,"Check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.",Core,22,07/2017,Occupational Expert
o_tasks/248ed2b7-9ec3-4eb2-9253-bcdbf014755f,16323,"Design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting.",Core,22,07/2017,Occupational Expert
o_tasks/4ffd4c27-eda3-4ae4-af89-23b962520484,16319,"Confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules.",Core,22,07/2017,Occupational Expert
o_tasks/92c9faae-ab3e-4dea-beec-e38c8766fe93,19612,"Design or engineer drainage, erosion, or sedimentation control systems for transportation projects.",Core,22,07/2017,Occupational Expert
o_tasks/2a17b108-77ea-4a5b-932a-25093ffd3bc1,16309,"Prepare project budgets, schedules, or specifications for labor or materials.",Core,22,07/2017,Occupational Expert
o_tasks/8bf26fc6-0445-43a4-a8da-4e75407271fa,16311,Plan alteration or modification of existing transportation structures to improve safety or function.,Core,22,07/2017,Occupational Expert
o_tasks/18edbcd7-1d6e-4744-bd21-fcf6e54828f1,16314,Investigate traffic problems and recommend methods to improve traffic flow or safety.,Core,22,07/2017,Occupational Expert
o_tasks/4c170d0e-43ce-4071-9b06-0b186b0ea8c3,16310,Prepare final project layout drawings that include details such as stress calculations.,Core,22,07/2017,Occupational Expert
o_tasks/7832e332-d235-47ba-89c3-e360168c9ba0,16318,Estimate transportation project costs.,Core,22,07/2017,Occupational Expert
o_tasks/b72dcc14-db1b-4841-956e-59cf7abb30be,16303,"Present data, maps, or other information at construction-related public hearings or meetings.",Core,22,07/2017,Occupational Expert
o_tasks/323fd014-24f9-49ae-9782-a2eff18d9b55,16305,"Prepare administrative, technical, or statistical reports on traffic-operation matters, such as accidents, safety measures, or pedestrian volume or practices.",Core,21,07/2017,Occupational Expert
o_tasks/e1a3fd3d-de12-46b6-9bce-9dce0b03ccb4,16306,Evaluate transportation systems or traffic control devices or lighting systems to determine need for modification or expansion.,Core,22,07/2017,Occupational Expert
o_tasks/7f15cd55-841d-4d42-b79f-02dfb3d04499,16304,Review development plans to determine potential traffic impact.,Core,22,07/2017,Occupational Expert
o_tasks/69cbad8d-7612-4349-90db-a2ae9e1b1bcf,16316,Inspect completed transportation projects to ensure safety or compliance with applicable standards or regulations.,Core,22,07/2017,Occupational Expert
o_tasks/4bcc29d8-f998-43a4-9561-70c74e321421,16307,Evaluate traffic control devices or lighting systems to determine need for modification or expansion.,Core,22,07/2017,Occupational Expert
o_tasks/1d53c53f-9112-4cab-8b15-5031937473cc,16317,"Direct the surveying, staking, or laying-out of construction projects.",Core,22,07/2017,Occupational Expert
o_tasks/cb4424c0-2d25-4d59-b906-f018f40d52f6,16312,"Participate in contract bidding, negotiation, or administration.",Core,22,07/2017,Occupational Expert
o_tasks/6b81ce96-ac1c-4c38-85b5-ccb09b12e6cc,16313,Model transportation scenarios to evaluate the impacts of activities such as new development or to identify possible solutions to transportation problems.,Core,22,07/2017,Occupational Expert
o_tasks/de63f280-a162-4300-bf54-f29b2a6b86b0,16315,Investigate or test specific construction project materials to determine compliance to specifications or standards.,Supplemental,22,07/2017,Occupational Expert
o_tasks/5340b382-c42b-4346-97a6-2b9b175f7ee9,16322,Supervise the maintenance or repair of transportation systems or system components.,Supplemental,22,07/2017,Occupational Expert
o_tasks/6a395366-afd3-4431-9881-5d51c5e1a6f6,19616,Inspect completed transportation projects to ensure compliance with environmental regulations.,Supplemental,22,07/2017,Occupational Expert
o_tasks/2062f50d-82b8-4142-b8c0-e12b18bb4b49,19615,Evaluate construction project materials for compliance with environmental standards.,Supplemental,22,07/2017,Occupational Expert
o_tasks/6bdeb245-aadd-4c15-a540-b800e5853c10,19614,Develop plans to deconstruct damaged or obsolete roadways or other transportation structures in a manner that is environmentally sound or prepares the land for sustainable development.,Supplemental,22,07/2017,Occupational Expert
o_tasks/5f984f21-b000-49a4-b323-68074748e01f,16321,Analyze environmental impact statements for transportation projects.,Supplemental,22,07/2017,Occupational Expert
o_tasks/64b62d05-402d-4d54-b50f-65f653d3fc69,19613,"Design transportation systems or structures, using sustainable materials or products, such as porous pavement or bioretention structures.",Supplemental,22,07/2017,Occupational Expert
o_tasks/809a91c8-b348-45e8-98b1-70b59c693b7a,16308,Develop or assist in the development of transportation-related computer software or computer processes.,Supplemental,22,07/2017,Occupational Expert
o_tasks/4fdef162-8267-4ab9-ae28-c04f7bf6a326,7391,Update knowledge and skills to keep up with rapid advancements in computer technology.,Core,22,07/2013,Occupational Expert
o_tasks/acd6d888-c909-4bcc-af30-591ac8712bb4,7396,"Build, test, and modify product prototypes, using working models or theoretical models constructed with computer simulation.",Core,22,07/2013,Occupational Expert
o_tasks/02244c13-a802-4415-9e31-7010ac76acb8,7402,Write detailed functional specifications that document the hardware development process and support hardware introduction.,Core,22,07/2013,Occupational Expert
o_tasks/c835f9d9-566d-4f24-8760-f3c307d53045,7403,"Specify power supply requirements and configuration, drawing on system performance expectations and design specifications.",Core,22,07/2013,Occupational Expert
o_tasks/9d7f7daf-ab28-452a-84ab-6312d463e273,7399,Confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system.,Core,22,07/2013,Occupational Expert
o_tasks/ce074fb5-a393-439d-b0c4-7a2ad8133da4,7407,"Design and develop computer hardware and support peripherals, including central processing units (CPUs), support logic, microprocessors, custom integrated circuits, and printers and disk drives.",Core,22,07/2013,Occupational Expert
o_tasks/0fc1495a-5600-4fea-b253-d168907aca51,7400,"Select hardware and material, assuring compliance with specifications and product requirements.",Core,22,07/2013,Occupational Expert
o_tasks/130ae13a-a861-4ac6-91a1-e1fa3df0ce9b,7394,Monitor functioning of equipment and make necessary modifications to ensure system operates in conformance with specifications.,Core,22,07/2013,Occupational Expert
o_tasks/fc65860c-273f-43f2-962e-b58aeabbb3b9,7393,"Test and verify hardware and support peripherals to ensure that they meet specifications and requirements, by recording and analyzing test data.",Core,22,07/2013,Occupational Expert
o_tasks/16103a0d-3825-4d6d-a135-3d659c44fa4c,7398,"Direct technicians, engineering designers or other technical support personnel as needed.",Core,22,07/2013,Occupational Expert
o_tasks/8d367927-d60b-4ab2-92ac-f86f61bc810a,7392,"Provide technical support to designers, marketing and sales departments, suppliers, engineers and other team members throughout the product development and implementation process.",Core,22,07/2013,Occupational Expert
o_tasks/d9af0548-774c-4088-bad3-483cd48220de,7401,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,22,07/2013,Occupational Expert
o_tasks/6d859355-5277-4987-b9d6-42ff2421e215,7406,"Evaluate factors such as reporting formats required, cost constraints, and need for security restrictions to determine hardware configuration.",Core,22,07/2013,Occupational Expert
o_tasks/b70b55c5-d84b-4082-8471-77ff9ac95a9a,7397,Analyze user needs and recommend appropriate hardware.,Core,22,07/2013,Occupational Expert
o_tasks/a75ec7fa-b410-43aa-a88e-a2f37e6aa698,7395,"Analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",Core,22,07/2013,Occupational Expert
o_tasks/2790bd7e-27ad-47f5-bfd3-85318ec2140a,7405,Assemble and modify existing pieces of equipment to meet special needs.,Core,22,07/2013,Occupational Expert
o_tasks/2baa7875-7e04-4f33-8c5a-38d74e6f93ad,7408,"Recommend purchase of equipment to control dust, temperature, and humidity in area of system installation.",Supplemental,22,07/2013,Occupational Expert
o_tasks/a57f8585-690e-4720-9eff-8d33cb3a3fd1,7404,Provide training and support to system designers and users.,Supplemental,22,07/2013,Occupational Expert
o_tasks/9f684891-8904-4aff-aac2-bc4c5f923268,1349,Operate computer-assisted engineering or design software or equipment to perform engineering tasks.,Core,148,07/2015,Incumbent
o_tasks/37730d77-7471-45a5-ba66-5bd210579e4a,1358,"Prepare technical drawings, specifications of electrical systems, or topographical maps to ensure that installation and operations conform to standards and customer requirements.",Core,147,07/2015,Incumbent
o_tasks/9b905046-41e3-4d9a-a4e8-a54efff80b48,1347,"Confer with engineers, customers, or others to discuss existing or potential engineering projects or products.",Core,149,07/2015,Incumbent
o_tasks/3f77b400-7c5e-4d90-869e-35e5a51ce7ad,1348,"Design, implement, maintain, or improve electrical instruments, equipment, facilities, components, products, or systems for commercial, industrial, or domestic purposes.",Core,148,07/2015,Incumbent
o_tasks/386dcc84-a1cd-4600-90c5-c2bf36d726f8,1350,"Direct or coordinate manufacturing, construction, installation, maintenance, support, documentation, or testing activities to ensure compliance with specifications, codes, or customer requirements.",Core,148,07/2015,Incumbent
o_tasks/d89cc6e5-6976-465a-ba6d-610b01dcf702,1363,Compile data and write reports regarding existing or potential electrical engineering studies or projects.,Core,149,07/2015,Incumbent
o_tasks/7d6a13f3-58ac-44cc-818d-a6e799e8d6eb,1351,"Perform detailed calculations to compute and establish manufacturing, construction, or installation standards or specifications.",Core,149,07/2015,Incumbent
o_tasks/6c58c236-825f-4b2a-91cd-8162c3bac031,1354,Prepare specifications for purchases of materials or equipment.,Core,149,07/2015,Incumbent
o_tasks/2d3a8ca4-4733-4f4d-95ef-c6128d271602,20729,"Estimate labor, material, or construction costs for budget preparation purposes.",Core,149,07/2015,Incumbent
o_tasks/8c29527d-bcca-4a6c-9e71-877c40194288,1355,"Supervise or train project team members, as necessary.",Core,149,07/2015,Incumbent
o_tasks/25625d84-b24f-4025-8316-5a5949cd6455,1365,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems.",Supplemental,149,07/2015,Incumbent
o_tasks/0599a50d-71c3-4865-8bff-7e9af2cb9d33,20730,Investigate customer or public complaints to determine the nature and extent of problems.,Supplemental,148,07/2015,Incumbent
o_tasks/d5eb07ec-5c3e-4d18-ab82-fa9f352f06ce,1357,Oversee project production efforts to assure projects are completed on time and within budget.,Supplemental,149,07/2015,Incumbent
o_tasks/6982296b-98fa-4c0e-961e-8357a23e6d61,20731,"Inspect completed installations and observe operations to ensure conformance to design and equipment specifications and compliance with operational, safety, or environmental standards.",Supplemental,149,07/2015,Incumbent
o_tasks/1a51f417-1f97-4e82-bfda-465aa489e106,1353,Plan or implement research methodology or procedures to apply principles of electrical theory to engineering projects.,Supplemental,149,07/2015,Incumbent
o_tasks/768fdf74-81fc-41ea-807f-1c35813473b6,19617,"Design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting.",Supplemental,147,07/2015,Incumbent
o_tasks/4eed587d-33fb-48b4-a5aa-3eb8a08ca85c,1360,Plan layout of electric power generating plants or distribution lines or stations.,Supplemental,149,07/2015,Incumbent
o_tasks/b7fa96ca-0164-4ca5-a6a5-b9a71d589057,1361,Assist in developing capital project programs for new equipment or major repairs.,Supplemental,149,07/2015,Incumbent
o_tasks/948932f4-2dea-4113-824b-1255aa9d9882,1356,Investigate or test vendors' or competitors' products.,Supplemental,149,07/2015,Incumbent
o_tasks/30d94f06-f2cd-4549-9b22-bde315702eb3,1364,"Collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems.",Supplemental,149,07/2015,Incumbent
o_tasks/3e3292ff-ad61-46c5-a072-ec65f76075bf,19618,"Develop systems that produce electricity with renewable energy sources, such as wind, solar, or biofuels.",Supplemental,147,07/2015,Incumbent
o_tasks/2c84a70b-11d7-4f70-9405-3c41b9a16e28,19619,Integrate electrical systems with renewable energy systems to improve overall efficiency.,Supplemental,147,07/2015,Incumbent
o_tasks/07095b3f-4a8d-49a0-b42d-a9934be18010,20493,Determine project material or equipment needs.,Core,91,07/2014,Incumbent
o_tasks/4a67fbdb-9822-41ca-9c69-51bb3070e9eb,5352,"Prepare engineering sketches or specifications for construction, relocation, or installation of equipment, facilities, products, or systems.",Core,91,07/2014,Incumbent
o_tasks/043034af-d47a-4674-a700-404e21d28b96,5348,"Prepare documentation containing information such as confidential descriptions or specifications of proprietary hardware or software, product development or introduction schedules, product costs, or information about product performance weaknesses.",Core,91,07/2014,Incumbent
o_tasks/4ddb71f0-714e-4823-b7e4-0f8491cfc049,20494,"Evaluate project work to ensure effectiveness, technical adequacy, or compatibility in the resolution of complex electronics engineering problems.",Core,91,07/2014,Incumbent
o_tasks/2aca8f41-0882-471e-b371-09696bea0a3a,20495,"Analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",Core,91,07/2014,Incumbent
o_tasks/c792a2df-476b-44c9-870c-136fcad9d909,20496,"Confer with engineers, customers, vendors, or others to discuss existing or potential electronics engineering projects or products.",Core,90,07/2014,Incumbent
o_tasks/a28ec982-1e7c-488c-976d-f2e4cde6b526,20497,Operate computer-assisted engineering or design software or equipment to perform electronics engineering tasks.,Core,90,07/2014,Incumbent
o_tasks/e97a8a38-fb23-4f85-8d0f-199b07593873,5355,"Prepare necessary criteria, procedures, reports, or plans for successful conduct of the project with consideration given to site preparation, facility validation, installation, quality assurance, or testing.",Core,91,07/2014,Incumbent
o_tasks/3f7c68a9-03a7-4fba-807f-b1c09de617c9,5351,"Plan or develop applications or modifications for electronic properties used in components, products, or systems to improve technical performance.",Core,91,07/2014,Incumbent
o_tasks/cb7979b2-2cae-416e-b731-754ad725d3b4,5349,"Direct or coordinate activities concerned with manufacture, construction, installation, maintenance, operation, or modification of electronic equipment, products, or systems.",Core,91,07/2014,Incumbent
o_tasks/df0097f1-418b-4032-89fe-6b621adcb0ec,20498,"Recommend repair or design modifications of electronics components or systems, based on factors such as environment, service, cost, or system capabilities.",Core,91,07/2014,Incumbent
o_tasks/4a30b949-c2d7-405c-891e-7b157832aaff,5350,"Develop or perform operational, maintenance, or testing procedures for electronic products, components, equipment, or systems.",Core,91,07/2014,Incumbent
o_tasks/4d0f2628-02d0-4f95-b6ac-ddaae591c897,5339,"Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.",Supplemental,90,07/2014,Incumbent
o_tasks/b894e48b-6448-4227-a020-5e98d1718c39,5346,"Inspect electronic equipment, instruments, products, or systems to ensure conformance to specifications, safety standards, or applicable codes or regulations.",Supplemental,91,07/2014,Incumbent
o_tasks/9ed7cda1-bf02-439f-8b41-43c7b33f90ad,20499,Provide technical support or instruction to staff or customers regarding electronics equipment standards.,Supplemental,91,07/2014,Incumbent
o_tasks/5e21ee8d-6104-40c7-a5b5-641a7b3f21e1,19622,Research or develop electronics technologies for use in electric-drive vehicles.,Supplemental,91,07/2014,Incumbent
o_tasks/178216d4-0ee8-4264-a7d6-898356174b6b,5354,"Prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.",Supplemental,91,07/2014,Incumbent
o_tasks/7912cd10-5d40-4a90-b78e-610637225f39,20500,"Prepare budget or cost estimates for equipment, construction, or installation projects or control expenditures.",Supplemental,91,07/2014,Incumbent
o_tasks/7b291122-c8bc-4d0b-82ad-9b1c117e8954,5357,"Represent employer at conferences, meetings, boards, panels, committees, or working groups to present, explain, or defend findings or recommendations, negotiate compromises or agreements, or exchange information.",Supplemental,90,07/2014,Incumbent
o_tasks/b3c1efb8-c27e-4800-b763-45b55ff134da,19623,"Research or develop new green electronics technologies, such as lighting, optical data storage devices, or energy efficient televisions.",Supplemental,90,07/2014,Incumbent
o_tasks/57ca75b0-7ccd-4b0f-986f-b4d6764f4f93,19620,"Develop solar photovoltaic products, such as inverters or energy management systems.",Supplemental,91,07/2014,Incumbent
o_tasks/873e5ff8-033e-4552-83a2-4775223d4541,19621,"Investigate green consumer electronics applications for consumer electronic devices, power saving devices for computers or televisions, or energy efficient power chargers.",Supplemental,91,07/2014,Incumbent
o_tasks/78cb2b24-5188-4339-b88f-9dd8093b2782,16363,Identify operational requirements for new systems to inform selection of technological solutions.,Core,75,07/2015,Incumbent
o_tasks/fbfdd60f-72b2-45b8-90c1-2b5282d74afb,16370,"Integrate tags, readers, or software in radio frequency identification device (RFID) designs.",Core,75,07/2015,Incumbent
o_tasks/cb9e49d6-2247-42c2-8fb0-15eec7f0ada7,16354,Perform systems analysis or programming of radio frequency identification device (RFID) technology.,Core,73,07/2015,Incumbent
o_tasks/2543c015-2820-49d9-8c8b-1902d7243a4d,16359,Test radio frequency identification device (RFID) software to ensure proper functioning.,Core,75,07/2015,Incumbent
o_tasks/087023fc-b110-4443-9b36-38273b000fbb,16360,Select appropriate radio frequency identification device (RFID) tags and determine placement locations.,Core,74,07/2015,Incumbent
o_tasks/e99dd6c8-ac46-41cf-9938-1fc06d9d5943,16361,"Perform site analyses to determine system configurations, processes to be impacted, or on-site obstacles to technology implementation.",Core,75,07/2015,Incumbent
o_tasks/6a8ed090-36d4-404a-a939-626bd38f7809,16362,Perform acceptance testing on newly installed or updated systems.,Core,75,07/2015,Incumbent
o_tasks/aeb887df-4c32-4abc-b363-221a2a79f0ce,16366,Determine means of integrating radio frequency identification device (RFID) into other applications.,Core,75,07/2015,Incumbent
o_tasks/2f1826a6-a1bc-4ced-8876-f5130502f209,16353,Provide technical support for radio frequency identification device (RFID) technology.,Core,75,07/2015,Incumbent
o_tasks/284d1a85-0d42-43b5-935d-4da3a6e3d860,16371,"Collect data about existing client hardware, software, networking, or key business processes to inform implementation of radio frequency identification device (RFID) technology.",Core,74,07/2015,Incumbent
o_tasks/1f2279d2-804e-4866-8837-95bcc94136e0,16369,"Install, test, or maintain radio frequency identification device (RFID) systems.",Core,73,07/2015,Incumbent
o_tasks/414d5749-8812-4882-a346-f2fedcb3f923,16358,Test tags or labels to ensure readability.,Core,75,07/2015,Incumbent
o_tasks/8bcec589-4d76-4479-971e-6a3c6ee363f7,16364,Determine usefulness of new radio frequency identification device (RFID) technologies.,Core,75,07/2015,Incumbent
o_tasks/0278c245-e46a-40bc-9553-06fd2a4e4f26,16351,Verify compliance of developed applications with architectural standards and established practices.,Core,75,07/2015,Incumbent
o_tasks/e0246a93-cffd-4161-9267-d345ecafeac5,16356,Train users in details of system operation.,Core,74,07/2015,Incumbent
o_tasks/39f6de1b-4efc-481a-afb4-64bcb7b64aa7,16365,"Develop process flows, work instructions, or standard operating procedures for radio frequency identification device (RFID) systems.",Core,75,07/2015,Incumbent
o_tasks/70e1938c-644d-4271-b684-d3a958af7e38,16352,"Read current literature, attend meetings or conferences, or talk with colleagues to stay abreast of industry research about new technologies.",Core,75,07/2015,Incumbent
o_tasks/b87b28e8-8f63-4b2b-9c67-adce6e80a4cc,16355,Document equipment or process details of radio frequency identification device (RFID) technology.,Core,74,07/2015,Incumbent
o_tasks/f38381e8-92e7-4e6b-9870-f9a54cc4fad2,16367,Define and compare possible radio frequency identification device (RFID) solutions to inform selection for specific projects.,Core,73,07/2015,Incumbent
o_tasks/0bef68e9-2855-49cd-8240-f92fb682f8f9,16368,Create simulations or models of radio frequency identification device (RFID) systems to provide information for selection and configuration.,Core,75,07/2015,Incumbent
o_tasks/19ff5eb6-ebff-476f-bb26-fc16d2758a99,16357,Analyze radio frequency identification device (RFID)-related supply chain data.,Core,74,07/2015,Incumbent
o_tasks/0250d3fe-2c1c-4261-9246-8473adfdf180,15210,"Design, or supervise the design of, systems, processes, or equipment for control, management, or remediation of water, air, or soil quality.",Core,26,07/2012,Occupational Expert
o_tasks/afc383e7-89fe-4b1a-872b-caff605c0b93,1374,Advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment.,Core,26,07/2012,Occupational Expert
o_tasks/0c44acb9-6277-47fb-accb-1b443a702a92,20195,"Collaborate with environmental scientists, planners, hazardous waste technicians, engineers, experts in law or business, or other specialists to address environmental problems.",Core,26,07/2012,Occupational Expert
o_tasks/b8aabeef-6bb8-447a-be0d-e33f6c13008b,1368,"Obtain, update, or maintain plans, permits, or standard operating procedures.",Core,27,07/2012,Occupational Expert
o_tasks/7f9e8956-69d8-4fdb-9862-18a4ac0eeb92,1381,"Serve as liaison with federal, state, or local agencies or officials on issues pertaining to solid or hazardous waste program requirements.",Core,27,07/2012,Occupational Expert
o_tasks/28682eda-c444-465b-b6c7-d341f135b660,1369,"Provide technical support for environmental remediation or litigation projects, including remediation system design or determination of regulatory applicability.",Core,26,07/2012,Occupational Expert
o_tasks/2238480a-2642-4c39-a24f-57d3fa314cc0,1366,"Prepare, review, or update environmental investigation or recommendation reports.",Core,26,07/2012,Occupational Expert
o_tasks/490faca4-8a77-483a-8a99-6b58a11b9696,1379,"Develop site-specific health and safety protocols, such as spill contingency plans or methods for loading or transporting waste.",Core,27,07/2012,Occupational Expert
o_tasks/bb33bd77-5859-4a83-b17f-ea9f6a99d6eb,1371,Inspect industrial or municipal facilities or programs to evaluate operational effectiveness or ensure compliance with environmental regulations.,Core,26,07/2012,Occupational Expert
o_tasks/0a56a374-3986-4071-986c-ba718d867249,20196,"Provide assistance with planning, quality assurance, safety inspection protocols, or sampling as part of a team conducting multimedia inspections at complex facilities.",Core,27,07/2012,Occupational Expert
o_tasks/a16e401d-517b-47aa-85c9-9854f3f05c42,19625,Prepare or present public briefings on the status of environmental engineering projects.,Core,26,07/2012,Occupational Expert
o_tasks/9bc15eae-5489-4dd4-b4f9-eb664ef21e68,1373,Develop proposed project objectives and targets and report to management on progress in attaining them.,Core,27,07/2012,Occupational Expert
o_tasks/f4e56508-b4d1-46e5-a13b-745dc29dc5ec,1380,"Coordinate or manage environmental protection programs or projects, assigning or evaluating work.",Core,27,07/2012,Occupational Expert
o_tasks/9713bd02-e299-48b3-a557-1d2abf729ecf,1375,Advise industries or government agencies about environmental policies and standards.,Core,26,07/2012,Occupational Expert
o_tasks/f1143143-b77c-4dc0-996e-7d102b3328c0,19624,Direct installation or operation of environmental monitoring devices or supervise related data collection programs.,Core,27,07/2012,Occupational Expert
o_tasks/f0f2b488-46c1-492f-a8a3-fe636d9c2a21,1370,Monitor progress of environmental improvement programs.,Core,26,07/2012,Occupational Expert
o_tasks/eaca3948-9bd0-49f5-bd0f-452e590f9bad,1383,Prepare hazardous waste manifests or land disposal restriction notifications.,Core,27,07/2012,Occupational Expert
o_tasks/0dd1ef7d-36b8-4be6-91e4-35d4a8dc01f7,1377,"Assess the existing or potential environmental impact of land use projects on air, water, or land.",Core,27,07/2012,Occupational Expert
o_tasks/a006ad08-4927-4366-bbdc-bc875b01d6cb,20197,"Prepare, maintain, or revise quality assurance documentation or procedures.",Core,26,07/2012,Occupational Expert
o_tasks/52d88627-2dab-4111-9022-d4ded8c9cc15,1378,"Assist in budget implementation, forecasts, or administration.",Core,26,07/2012,Occupational Expert
o_tasks/18765fab-dbe7-4317-926a-062b69b59039,1390,"Provide environmental engineering assistance in network analysis, regulatory analysis, or planning or reviewing database development.",Core,26,07/2012,Occupational Expert
o_tasks/5ce6329d-b0d9-4199-a29f-103fbaa7fc4d,1376,Inform company employees or other interested parties of environmental issues.,Core,26,07/2012,Occupational Expert
o_tasks/3036c81c-efa2-4945-9ab0-e6f395a997a1,1385,Develop or present environmental compliance training or orientation sessions.,Core,27,07/2012,Occupational Expert
o_tasks/7a5c1238-e9c6-4dcc-bfc7-3e47f0c0d4a6,1372,"Provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.",Core,27,07/2012,Occupational Expert
o_tasks/71333f90-0a9f-4fdc-9c31-27034c2aaba4,1388,"Assess, sort, characterize, or pack known or unknown materials.",Supplemental,27,07/2012,Occupational Expert
o_tasks/731b21a3-1d80-4d89-ad48-544a54bc2435,1389,Request bids from suppliers or consultants.,Supplemental,26,07/2012,Occupational Expert
